drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
141,SYNCOPE & COLLAPSE W CC,05,Circulatory System (Heart),MED,0.7617,2.8
142,SYNCOPE & COLLAPSE W/O CC,05,Circulatory System (Heart),MED,0.5929,2.1
143,CHEST PAIN,05,Circulatory System (Heart),MED,0.5643,1.7
144,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,05,Circulatory System (Heart),MED,1.2502,4.0
145,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC,05,Circulatory System (Heart),MED,0.585,2.0
146,RECTAL RESECTION W CC,06,Digestive System,SURG,2.6435,8.6
147,RECTAL RESECTION W/O CC,06,Digestive System,SURG,1.5194,5.4
148,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,06,Digestive System,SURG,3.3871,10.0
149,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC,06,Digestive System,SURG,1.4352,5.6
150,PERITONEAL ADHESIOLYSIS W CC,06,Digestive System,SURG,2.7489,8.9
151,PERITONEAL ADHESIOLYSIS W/O CC,06,Digestive System,SURG,1.296,4.3
152,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,06,Digestive System,SURG,1.8812,6.6
153,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC,06,Digestive System,SURG,1.1129,4.6
154,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE >17 W CC",06,Digestive System,SURG,4.0524,9.9
155,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE >17 W/O CC",06,Digestive System,SURG,1.2708,3.1
156,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE 0-17",06,Digestive System,SURG,0.8495,6.0
157,ANAL & STOMAL PROCEDURES W CC,06,Digestive System,SURG,1.2914,4.0
158,ANAL & STOMAL PROCEDURES W/O CC,06,Digestive System,SURG,0.6564,2.1
159,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W CC,06,Digestive System,SURG,1.3836,3.8
160,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W/O CC,06,Digestive System,SURG,0.8225,2.2
161,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W CC,06,Digestive System,SURG,1.1824,3.0
162,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W/O CC,06,Digestive System,SURG,0.6643,1.6
163,HERNIA PROCEDURES AGE 0-17,06,Digestive System,SURG,1.003,3.5
164,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,06,Digestive System,SURG,2.2921,6.9
165,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC,06,Digestive System,SURG,1.1878,3.7
166,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,06,Digestive System,SURG,1.4723,3.5
167,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC,06,Digestive System,SURG,0.8956,1.9
168,MOUTH PROCEDURES W CC,03,"Ear, Nose & Throat",SURG,1.2425,3.2
169,MOUTH PROCEDURES W/O CC,03,"Ear, Nose & Throat",SURG,0.7482,1.9
170,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,06,Digestive System,SURG,2.8628,7.5
171,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC,06,Digestive System,SURG,1.1843,3.2
